Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Severity_Ratio,Rec_Target_PPV_mm_per_s,Rec_Distance_from_Dam_m,Rec_Charge_Factor,Rec_Burden_m,Rec_Spacing_m
19.54,2454,1.44,1772,335.0,0.438,0.787,28,3.63,5.72,3.908,2.37,5857.5,0.33,5.31,8.14
9.68,1042,2.05,1104,36.0,0.508,0.569,35,3.41,5.91,1.937,3.91,1614.6,0.96,3.98,6.66
18.16,437,0.75,2189,128.3,0.859,0.577,11,2.81,4.62,3.633,3.09,1034.9,0.2,3.97,6.42
13.73,1437,1.75,1917,357.0,0.696,0.967,30,2.17,4.18,2.746,2.98,2831.8,0.53,2.85,5.35
16.51,1198,1.06,2320,240.0,0.928,0.993,8,3.23,5.09,3.302,3.08,2588.0,0.23,4.32,6.9
11.54,2426,2.21,1001,201.2,0.638,0.684,18,2.16,3.65,2.309,3.49,4093.9,0.89,2.43,4.54
12.81,995,2.36,1048,75.7,0.561,0.881,45,3.65,4.23,2.561,3.59,1828.3,0.92,4.53,5.22
11.37,2420,2.49,1865,220.9,0.609,0.842,45,2.92,5.71,2.275,3.63,4097.9,1.09,3.39,6.79
6.32,2984,2.09,1338,385.3,0.828,0.578,16,3.6,5.84,1.264,4.03,3423.6,1.53,3.7,5.96
15.28,2767,2.01,1930,132.0,0.733,0.435,1,2.4,5.74,3.056,3.07,5661.1,0.5,2.95,7.62
7.77,1774,0.93,1948,2.7,0.943,0.486,39,4.8,3.42,1.555,4.05,2309.2,0.52,5.15,3.56
3.41,1030,1.17,1347,334.3,0.761,0.903,4,4.68,3.31,1.01,4.49,1080.0,1.11,4.81,3.41
13.97,388,1.43,1113,486.3,0.696,0.839,38,2.57,3.54,2.795,2.74,848.5,0.38,3.28,4.46
6.01,823,2.05,911,303.4,0.871,0.799,15,3.03,4.04,1.202,4.9,966.9,1.65,3.13,4.23
18.99,2419,2.33,2979,60.0,0.969,0.478,16,3.84,3.6,3.798,2.99,5688.0,0.55,5.44,5.28
19.22,2053,0.88,1177,160.4,0.614,0.784,26,2.29,3.81,3.843,2.85,4780.9,0.22,3.18,5.61
18.55,1189,2.34,658,433.8,0.55,0.863,6,3.06,4.67,3.711,3.08,2839.8,0.56,4.3,6.44
9.29,582,1.89,2561,116.3,0.77,0.916,7,2.75,5.17,1.859,3.97,849.2,0.92,3.07,5.74
3.26,1035,1.72,872,303.8,0.699,0.408,7,4.75,5.07,1.01,4.49,1085.0,1.67,4.93,5.21
18.78,2395,0.9,2772,201.3,0.994,0.811,22,4.56,5.35,3.756,2.37,5601.3,0.28,6.26,7.57
10.28,255,0.61,1596,103.9,0.677,0.411,31,3.74,2.61,2.056,3.02,500.5,0.25,4.41,3.01
19.43,1170,1.64,1102,406.7,0.445,0.824,42,3.56,2.67,3.887,2.13,2729.6,0.28,5.24,3.91
19.38,2058,1.8,715,371.4,0.986,0.781,17,4.79,5.26,3.876,2.26,4946.6,0.37,7.04,7.57
17.5,2601,0.92,2496,330.8,0.906,0.489,37,4.8,4.37,3.5,2.68,5741.6,0.2,6.47,6.19
8.01,2348,1.61,2064,118.2,0.507,0.86,11,4.91,4.52,1.601,4.3,3291.3,0.95,5.36,4.96
9.55,1783,2.21,2340,48.9,0.943,0.441,14,2.38,2.68,1.909,3.98,2722.2,1.02,2.52,3.04
17.47,223,2.17,2462,288.1,0.604,0.896,27,2.48,3.39,3.494,2.79,531.8,0.54,3.41,4.68
8.39,2148,2.35,1226,276.8,0.626,0.557,37,4.03,4.73,1.678,4.29,3007.8,1.28,4.29,5.34
5.88,1067,1.23,1744,94.2,0.944,0.813,30,3.62,5.51,1.176,4.61,1197.9,1.08,3.86,5.7
12.47,954,1.14,1565,28.1,0.718,0.954,8,2.06,5.71,2.493,3.56,1745.3,0.32,2.36,7.05
18.91,739,2.0,1175,40.4,0.483,0.604,7,2.19,4.25,3.783,2.52,1737.9,0.47,3.1,6.21
14.83,2338,1.36,782,496.4,0.621,0.702,45,4.66,4.41,2.967,2.68,4570.5,0.35,6.05,5.76
12.69,1702,0.68,1581,391.8,0.833,0.678,18,4.61,5.42,2.538,3.55,3048.5,0.2,5.86,6.62
4.65,2663,1.07,2408,461.0,0.505,0.495,7,3.07,4.38,1.01,4.86,2713.0,1.02,3.17,4.48
13.46,541,1.34,1652,97.5,0.754,0.754,33,4.67,4.31,2.691,3.05,1127.9,0.48,5.77,5.47
19.83,2044,1.09,1447,480.3,0.817,0.846,3,3.78,5.67,3.966,2.34,4905.5,0.2,5.36,8.0
5.38,1938,1.16,1164,71.3,0.606,0.95,30,4.42,5.26,1.076,4.9,2131.9,1.11,4.52,5.36
11.81,1929,1.09,2217,254.5,0.816,0.91,37,3.28,5.68,2.362,3.75,3442.5,0.44,4.06,6.94
17.92,2290,0.58,1648,414.8,0.931,0.706,2,2.34,3.26,3.583,2.17,5163.3,0.2,3.32,4.53
15.59,632,1.77,566,174.9,0.683,0.831,34,3.3,4.34,3.119,3.23,1433.1,0.49,4.39,5.82
14.85,2374,1.69,2553,212.4,0.63,0.88,18,3.37,5.45,2.97,2.41,4699.8,0.59,4.18,7.04
14.94,1436,1.81,1136,64.1,0.551,0.696,42,3.65,2.89,2.988,2.76,2833.7,0.49,4.85,3.94
9.11,1048,0.88,813,61.5,0.763,0.469,28,2.32,5.28,1.822,3.37,1555.6,0.44,2.66,5.85
7.99,2119,1.09,1064,309.8,0.928,0.663,9,4.97,3.14,1.598,4.21,2884.7,0.62,5.61,3.26
16.76,559,1.74,2101,337.8,0.595,0.905,11,2.73,5.33,3.352,2.28,1319.5,0.51,3.73,7.18
16.77,650,1.7,1325,388.7,0.638,0.758,45,2.6,4.64,3.354,2.78,1446.9,0.53,3.43,6.3
17.74,492,1.51,1605,278.3,0.644,0.835,29,3.58,3.18,3.548,2.45,1094.1,0.45,4.9,4.33
18.53,1887,1.2,1525,322.9,0.736,0.511,29,3.61,4.16,3.705,2.23,4376.8,0.34,4.95,5.74
11.69,944,2.33,2751,6.8,0.537,0.979,17,3.32,4.89,2.339,3.54,1656.5,1.01,4.08,5.94
11.53,2357,1.18,1161,81.1,0.893,0.642,23,4.32,4.72,2.305,3.01,3954.8,0.51,5.24,5.59
16.57,1238,1.41,1304,492.5,0.577,0.792,31,3.55,4.0,3.314,2.47,2683.3,0.43,4.66,5.43
14.05,745,1.86,2951,38.0,0.823,0.411,8,3.83,5.65,2.81,2.76,1553.3,0.69,4.73,7.29
14.93,2366,1.59,1035,339.4,0.708,0.476,23,4.17,4.32,2.987,2.98,4806.7,0.38,5.25,5.71
16.53,2554,1.19,1891,88.0,0.752,0.869,25,2.08,4.27,3.306,2.91,5459.5,0.35,2.96,5.7
18.13,1566,1.37,1735,358.4,0.508,0.981,2,3.71,2.72,3.626,2.14,3528.4,0.38,5.07,3.82
8.75,1477,2.09,2420,353.0,0.841,0.592,22,4.65,5.73,1.749,3.52,2062.2,1.21,5.11,6.35
9.38,2705,1.06,2664,117.1,0.513,0.422,10,2.05,3.12,1.877,3.58,4053.3,0.61,2.23,3.68
4.6,2697,0.78,1127,134.8,0.468,0.617,9,3.22,4.35,1.01,4.81,2814.2,0.73,3.32,4.51
12.83,241,1.13,1248,327.4,0.728,0.41,35,4.78,5.31,2.566,3.51,456.4,0.49,5.99,6.5
3.61,2759,2.2,604,195.0,0.826,0.515,12,3.06,3.25,1.01,4.9,2809.0,2.15,3.21,3.35
10.92,600,0.68,545,97.3,0.43,0.851,28,3.38,4.35,2.183,3.51,1113.7,0.2,3.85,4.98
12.22,939,2.48,1854,365.8,0.442,0.962,37,4.94,3.34,2.445,3.04,1756.2,0.83,6.09,4.01
7.87,2849,1.58,1739,77.1,0.882,0.452,12,2.6,5.16,1.574,4.19,3860.9,0.97,2.76,5.63
13.04,1782,2.47,1481,427.8,0.885,0.735,25,2.2,4.48,2.609,3.44,3222.1,0.85,2.92,5.62
3.52,1665,2.38,1459,257.3,0.547,0.552,19,4.58,5.5,1.01,4.9,1715.0,2.33,4.68,5.6
3.63,2146,1.41,2015,52.9,0.769,0.483,4,4.61,5.63,1.01,4.9,2196.0,1.36,4.71,5.73
16.98,1630,0.9,2336,347.0,0.666,0.531,19,3.42,4.77,3.397,2.96,3573.6,0.32,4.65,6.66
9.12,695,0.83,2996,259.6,0.78,0.747,13,3.54,5.04,1.825,3.77,985.2,0.4,3.84,5.72
5.16,2004,0.98,1981,149.0,0.918,0.439,44,4.51,4.42,1.032,4.73,2162.4,0.93,4.61,4.52
11.88,380,1.92,2059,211.3,0.448,0.661,13,4.22,3.85,2.376,3.49,801.2,0.82,5.16,4.67
16.09,523,1.05,2007,149.2,0.867,0.481,7,2.8,4.77,3.218,2.49,1109.0,0.29,3.82,6.37
6.67,369,1.18,2563,131.5,0.696,0.564,12,2.05,5.68,1.334,4.61,482.5,0.85,2.15,6.11
13.59,253,1.4,2500,81.8,0.738,0.514,23,3.44,3.96,2.718,3.34,565.0,0.52,4.4,4.92
4.45,2761,2.33,2790,181.4,0.792,0.93,14,4.58,3.6,1.01,4.9,2915.7,2.28,4.68,3.7
3.88,1850,0.88,2473,125.5,0.954,0.825,0,4.69,3.86,1.01,4.9,1990.4,0.83,4.79,3.96
12.03,761,0.51,1411,341.7,0.434,0.921,21,4.87,4.02,2.407,2.92,1279.1,0.2,5.93,4.88
12.19,2067,0.62,1794,341.9,0.418,0.63,33,4.64,2.76,2.438,2.8,3591.7,0.2,5.71,3.44
13.84,182,2.31,2302,250.9,0.507,0.588,39,3.74,4.24,2.767,3.25,444.8,0.68,4.61,5.19
15.34,1549,1.8,2253,389.0,0.992,0.628,2,3.33,4.23,3.069,3.24,3209.5,0.48,4.28,5.57
19.59,1398,1.05,614,420.7,0.829,0.411,25,4.32,4.56,3.918,2.68,3258.8,0.2,6.19,6.4
11.78,2431,0.85,2103,289.9,0.769,0.835,13,4.22,3.77,2.355,2.9,4203.1,0.36,5.06,4.46
8.49,1079,1.09,1822,309.5,0.428,0.61,40,3.61,4.65,1.698,4.27,1608.4,0.7,4.1,5.2
16.52,2320,0.73,2360,141.4,0.927,0.588,7,2.26,5.57,3.304,3.24,4889.9,0.23,2.99,7.36
7.6,2910,2.38,2944,447.4,0.888,0.759,15,4.78,5.84,1.521,3.99,3906.0,1.59,5.02,6.22
10.46,1759,2.07,2941,12.1,0.799,0.662,41,3.37,4.54,2.093,3.55,2751.1,0.97,3.82,5.37
4.33,1498,1.42,1598,174.3,0.603,0.989,20,3.09,2.65,1.01,4.9,1613.8,1.37,3.19,2.75
3.43,732,2.23,1477,360.9,0.442,0.614,9,3.89,5.89,1.01,4.9,809.7,2.18,3.99,5.99
19.37,1631,1.0,2005,40.0,0.748,0.768,24,4.02,4.97,3.873,3.01,3814.8,0.2,5.74,7.14
17.21,886,1.93,1626,91.6,0.832,0.587,37,2.63,3.68,3.442,2.31,2012.7,0.57,3.68,4.88
14.83,497,2.21,796,294.6,0.457,0.994,21,4.51,3.02,2.966,2.98,1087.1,0.75,5.81,3.81
9.95,1243,1.21,2725,280.0,0.78,0.667,45,2.87,3.0,1.99,3.74,2048.0,0.56,3.45,3.43
5.95,1033,2.01,2862,369.5,0.572,0.78,3,2.56,3.09,1.189,4.9,1174.7,1.57,2.83,3.19
5.66,1560,1.09,1562,406.3,0.859,0.476,3,3.22,2.66,1.132,4.9,1772.8,1.01,3.35,2.91
7.25,1952,1.1,758,64.3,0.724,0.84,29,4.19,5.66,1.451,4.63,2533.7,0.69,4.62,5.91
12.34,2823,0.71,2554,9.2,0.477,0.562,1,4.9,4.39,2.467,3.2,5019.3,0.2,5.98,5.47
15.15,2612,1.38,2596,344.8,0.716,0.669,28,4.43,4.95,3.03,3.2,5350.1,0.47,5.95,6.59
14.22,385,1.96,2708,150.7,0.637,0.93,42,4.82,5.4,2.845,2.89,690.6,0.62,6.29,7.09
7.76,364,2.38,2392,313.0,0.508,0.982,35,2.42,5.27,1.552,3.94,485.5,1.51,2.82,5.68
19.23,2467,1.71,675,75.3,0.905,0.655,20,2.21,5.59,3.847,2.3,5783.5,0.47,3.21,8.13
15.54,2820,2.23,1500,234.5,0.407,0.901,20,3.67,5.89,3.109,3.15,5715.3,0.65,4.95,7.93
12.42,2967,2.14,2418,252.2,0.587,0.432,20,2.87,4.04,2.485,3.66,5372.1,0.79,3.53,4.8
13.4,2236,0.85,2167,292.5,0.408,0.909,3,4.48,5.83,2.68,2.81,4219.9,0.24,5.52,7.29
10.13,1777,1.47,775,256.6,0.458,0.778,0,4.02,5.03,2.027,3.07,2808.8,0.64,4.58,5.63
7.21,1326,0.73,1175,247.8,0.578,0.693,25,4.91,2.75,1.442,4.48,1780.0,0.55,5.4,2.98
9.05,920,1.86,2323,166.4,0.433,0.934,1,2.76,4.89,1.81,3.84,1373.3,0.96,2.92,5.51
15.88,1862,2.4,1551,35.6,0.758,0.907,8,3.46,4.9,3.177,3.27,3896.3,0.61,4.62,6.39
3.24,2481,0.77,1856,44.8,0.452,0.578,44,3.5,5.67,1.01,4.73,2531.0,0.68,3.6,5.8
4.97,2369,1.97,2603,216.9,0.821,0.875,17,2.72,3.81,1.01,4.55,2419.0,1.92,2.82,3.91
3.78,140,1.76,1046,177.9,0.432,0.46,41,3.77,4.55,1.01,4.9,190.0,1.71,3.93,4.68
3.69,1831,1.67,1635,258.1,0.436,0.894,40,3.33,2.54,1.01,4.56,1930.4,1.62,3.48,2.64
17.54,167,1.28,2583,152.4,0.583,0.805,10,3.34,3.66,3.509,2.43,411.8,0.32,4.64,5.1
14.96,1087,1.21,2540,344.0,0.938,0.453,24,3.09,2.72,2.992,2.52,2166.8,0.29,3.92,3.36
11.06,1899,0.59,938,432.0,0.785,0.81,25,2.05,4.33,2.212,3.09,3162.7,0.25,2.41,5.01
4.66,2661,0.94,2252,149.4,0.862,0.748,35,3.57,5.36,1.01,4.58,2711.0,0.89,3.67,5.46
11.36,1721,0.53,2115,96.5,0.485,0.757,41,3.01,3.22,2.271,3.77,3008.9,0.2,3.52,3.75
11.05,1755,1.66,2349,58.1,0.9,0.575,34,2.0,4.35,2.21,3.14,2841.5,0.73,2.21,5.14
5.94,1378,0.71,2100,308.1,0.405,0.56,37,2.92,3.21,1.189,4.53,1658.4,0.61,3.02,3.47
10.38,794,2.25,2163,221.9,0.528,0.858,2,2.84,2.92,2.075,3.87,1305.3,1.06,3.21,3.21
9.77,2624,1.55,806,94.0,0.77,0.554,40,3.18,4.29,1.955,3.75,4063.3,0.67,3.7,5.03
13.47,1185,1.9,1118,326.6,0.625,0.668,34,2.4,2.78,2.694,3.16,2212.0,0.73,2.93,3.31
13.8,2579,1.32,1632,74.2,0.991,0.817,39,3.52,4.56,2.759,3.22,5006.9,0.46,4.43,5.61
3.77,1793,1.62,1895,277.2,0.418,0.448,21,4.08,2.61,1.01,4.9,1843.0,1.57,4.18,2.71
9.37,2415,2.39,2904,263.6,0.999,0.757,7,3.89,2.87,1.874,4.03,3643.4,1.14,4.6,3.45
13.64,1158,0.67,2728,367.1,0.774,0.754,14,4.41,4.42,2.728,3.17,2316.9,0.27,5.56,5.44
11.55,878,1.01,1879,27.6,0.735,0.811,44,3.36,4.57,2.311,3.68,1608.2,0.46,3.83,5.63
17.56,593,2.06,2199,443.9,0.436,0.622,6,3.56,2.6,3.512,2.7,1357.5,0.5,4.91,3.78
14.2,1685,0.7,2615,351.5,0.564,0.669,18,4.43,4.51,2.84,2.74,3383.1,0.2,5.8,5.7
5.77,1592,0.65,2839,108.1,0.955,0.598,39,3.28,5.43,1.154,4.9,1831.3,0.59,3.47,5.61
4.2,1890,1.22,680,91.7,0.613,0.885,41,4.1,5.03,1.01,4.9,1940.0,1.13,4.2,5.15
13.92,760,0.68,2981,215.8,0.797,0.478,16,3.3,2.96,2.784,3.4,1472.4,0.27,4.04,3.71
3.45,1448,1.67,1987,408.8,1.0,0.978,0,3.25,4.57,1.01,4.52,1498.0,1.56,3.35,4.67
12.96,1427,0.95,1413,421.5,0.558,0.781,44,4.28,4.85,2.592,3.0,2606.5,0.27,5.41,5.98
18.98,1399,2.29,2057,260.2,0.746,0.932,28,2.52,2.63,3.797,3.01,3322.8,0.56,3.61,3.84
12.78,2086,2.07,2613,430.4,0.818,0.656,12,3.02,5.49,2.557,2.88,3817.5,0.66,3.88,6.89
9.6,2144,1.9,1544,2.7,0.499,0.599,28,2.67,5.67,1.92,4.05,3180.6,1.02,2.95,6.35
13.94,2028,1.73,2135,17.6,0.489,0.94,40,3.08,5.48,2.787,3.45,3974.0,0.64,3.8,6.81
10.79,1447,2.23,2931,455.9,0.674,0.459,41,2.69,5.39,2.158,3.79,2349.6,0.98,3.31,6.49
12.28,1158,0.95,2138,387.7,0.631,0.47,5,3.74,5.11,2.455,3.25,2179.4,0.42,4.6,6.04
19.0,1076,2.25,2082,225.4,0.829,0.58,4,4.39,4.72,3.801,2.71,2619.7,0.59,6.04,6.79
9.56,581,2.08,2586,376.8,0.442,0.976,33,4.36,4.88,1.913,3.98,1009.5,0.97,4.9,5.36
19.34,827,2.0,1808,477.8,0.983,0.78,10,3.09,5.32,3.868,2.82,2038.4,0.52,4.57,7.75
18.39,2627,1.62,1321,386.0,0.409,0.733,8,4.97,4.82,3.678,2.74,5923.1,0.33,6.77,6.92
6.33,1131,0.99,1101,421.2,0.761,0.823,37,3.78,3.65,1.266,4.9,1367.0,0.75,3.88,3.75
4.18,442,1.35,2120,380.3,0.738,0.65,39,3.2,3.82,1.01,4.9,492.0,1.3,3.3,3.92
4.71,1547,2.09,1284,84.1,0.481,0.855,40,4.51,5.64,1.01,4.9,1597.0,2.04,4.68,5.74
3.31,2479,0.56,1711,416.8,0.491,0.636,8,4.19,2.56,1.01,4.53,2566.7,0.46,4.36,2.66
4.61,2585,2.06,1170,97.6,0.876,0.896,7,4.25,4.95,1.01,4.61,2635.0,2.0,4.35,5.05
14.61,2321,0.98,1766,446.3,0.933,0.56,43,2.59,5.84,2.922,2.88,4680.7,0.32,3.36,7.59
4.21,2706,0.79,1596,229.3,0.57,0.567,39,3.4,4.97,1.01,4.86,2856.6,0.74,3.5,5.07
8.42,626,0.73,2497,338.5,0.663,0.713,2,4.59,5.98,1.685,4.14,893.4,0.47,4.95,6.54
17.36,1996,0.55,600,248.6,0.613,0.658,12,3.51,4.91,3.473,2.34,4398.9,0.2,4.94,6.84
3.4,758,1.55,2279,47.0,0.444,0.789,18,4.05,2.62,1.01,4.9,808.0,1.48,4.15,2.72
16.85,2173,0.94,675,145.4,0.804,0.619,33,3.76,5.39,3.369,2.54,4769.1,0.2,5.1,7.24
7.79,919,2.48,737,491.9,0.895,0.538,31,4.53,3.5,1.558,3.93,1300.3,1.55,4.96,3.85
5.01,2752,1.65,1622,480.4,0.583,0.682,15,2.85,4.06,1.01,4.75,2802.0,1.6,2.95,4.17
14.84,505,0.78,2477,160.2,0.994,0.737,35,3.73,3.59,2.969,2.98,1036.3,0.2,4.83,4.69
13.69,2379,1.88,2503,498.1,0.446,0.486,17,2.37,3.44,2.738,2.58,4500.9,0.59,3.02,4.23
17.92,2680,2.3,2037,422.8,0.797,0.734,13,4.07,4.01,3.583,2.29,6092.6,0.52,5.75,5.36
15.5,1673,1.99,1254,305.5,0.669,0.592,29,4.2,3.83,3.099,3.09,3377.6,0.5,5.41,5.15
16.66,1911,0.65,2758,20.1,0.668,0.635,1,2.13,4.72,3.332,2.43,4022.4,0.2,2.79,6.5
7.79,604,2.29,1646,450.7,0.675,0.568,12,4.03,5.35,1.559,3.74,923.3,1.46,4.39,5.87
6.02,278,2.09,1911,278.7,0.555,0.959,26,3.24,3.54,1.203,4.85,441.4,1.72,3.54,3.64
15.76,231,0.82,639,434.2,0.829,0.81,16,2.37,3.25,3.152,2.41,597.8,0.3,3.03,4.33
16.72,1946,0.6,1040,417.2,0.833,0.557,30,3.26,4.83,3.343,2.67,4189.8,0.2,4.6,6.66
19.84,1578,1.61,1914,416.5,0.569,0.787,14,2.58,4.85,3.968,2.03,3816.1,0.34,3.82,6.96
10.01,2495,0.81,769,349.1,0.901,0.909,19,3.25,5.65,2.003,3.38,3914.0,0.4,3.87,6.38
9.32,2687,2.17,1535,145.7,0.59,0.641,4,3.15,2.56,1.865,3.86,3930.5,1.13,3.4,2.92
16.2,871,1.22,2390,168.1,0.835,0.898,6,4.22,5.49,3.24,2.37,1885.1,0.37,5.55,7.46
8.79,1529,2.33,1005,154.2,0.473,0.493,17,4.32,4.32,1.759,4.16,2128.7,1.3,4.64,4.64
18.82,2223,1.63,1629,10.0,0.501,0.894,10,3.82,4.67,3.765,2.99,5105.5,0.41,5.35,6.65
17.59,678,0.87,2579,291.3,0.589,0.724,31,2.07,2.82,3.519,2.27,1624.8,0.2,3.04,3.94
10.29,1615,0.78,2372,349.4,0.756,0.534,26,4.79,4.01,2.059,3.98,2546.8,0.39,5.4,4.69
15.76,293,1.65,1592,426.9,0.787,0.644,25,4.06,3.3,3.153,2.61,738.5,0.51,5.39,4.42
15.83,2107,2.02,1312,70.1,0.638,0.993,36,2.1,3.39,3.165,2.39,4329.5,0.67,2.59,4.54
4.75,1285,2.06,861,272.1,0.447,0.87,44,4.46,4.26,1.01,4.48,1335.0,2.01,4.56,4.36
18.34,2494,1.05,1956,4.0,0.624,0.745,27,2.6,5.34,3.669,2.52,5695.4,0.29,3.52,7.38
11.59,1484,0.91,1428,47.5,0.813,0.469,1,3.74,5.1,2.318,3.41,2612.0,0.36,4.33,6.16
17.05,1892,0.53,599,27.1,0.803,0.651,19,3.4,4.57,3.41,2.54,4123.0,0.21,4.56,6.03
8.44,1210,1.86,2181,362.7,0.496,0.558,3,3.26,4.39,1.688,4.18,1804.9,1.14,3.7,4.89
18.22,2361,0.65,2556,40.5,0.405,0.443,12,4.67,4.0,3.645,2.84,5256.4,0.21,6.36,5.65
9.62,2036,1.34,1552,358.2,0.852,0.725,23,3.31,5.9,1.923,3.46,3198.6,0.68,3.66,6.62
3.18,2720,1.7,1420,124.8,0.464,0.934,37,2.23,4.46,1.01,4.9,2770.0,1.6,2.33,4.56
18.39,879,2.37,2937,438.9,0.449,0.805,39,4.84,3.39,3.678,3.05,2110.7,0.61,6.97,4.76
4.55,361,1.12,1131,406.6,0.402,0.55,44,4.76,3.31,1.01,4.57,411.0,1.07,4.86,3.41
8.43,829,1.0,1181,478.9,0.66,0.744,28,4.05,4.64,1.686,3.66,1265.5,0.62,4.56,5.1
19.15,382,1.81,2704,441.9,0.702,0.966,35,3.4,4.33,3.83,2.52,968.6,0.34,4.91,6.33
19.16,1590,1.74,2882,466.7,0.783,0.834,1,2.28,2.53,3.832,2.55,3666.8,0.43,3.1,3.57
12.75,461,1.16,2807,429.4,0.578,0.814,40,4.37,5.41,2.55,3.17,961.1,0.37,5.43,6.71
13.74,540,2.36,2629,346.7,0.826,0.981,17,2.23,4.96,2.748,2.82,1014.9,0.83,2.66,6.08
10.62,2240,2.19,1253,85.1,0.502,0.879,7,2.21,4.82,2.125,3.6,3586.5,0.9,2.54,5.46
7.98,1744,0.95,1964,135.9,0.899,0.482,14,3.61,2.74,1.597,4.1,2449.5,0.6,3.96,2.84
8.59,2900,0.98,1219,106.4,0.743,0.609,40,2.48,3.77,1.717,3.89,4037.5,0.5,2.77,4.28
14.43,966,1.52,574,301.8,0.75,0.979,16,2.02,5.77,2.887,2.56,1868.2,0.38,2.44,7.35
15.79,1547,2.05,1793,251.8,0.526,0.694,22,3.27,5.52,3.158,2.79,3224.9,0.6,4.14,7.2
16.46,241,0.59,2422,433.5,0.444,0.467,1,2.41,3.5,3.291,2.61,623.5,0.2,3.36,4.8
16.42,1414,1.89,561,476.3,0.679,0.675,5,2.48,3.05,3.285,2.75,2952.9,0.54,3.42,3.96
4.55,1555,1.8,1373,202.4,0.769,0.818,28,2.23,4.07,1.01,4.9,1624.2,1.75,2.33,4.17
11.41,2896,0.96,819,253.2,0.457,0.999,26,2.62,3.75,2.281,3.29,4941.0,0.48,2.97,4.44
3.98,1975,1.86,2649,485.8,0.97,0.594,36,4.15,4.89,1.01,4.49,2109.4,1.79,4.31,4.99
12.34,1947,2.38,1952,138.1,0.988,0.708,33,4.43,5.88,2.468,3.12,3561.8,0.94,5.51,7.21
10.51,1812,0.59,1373,396.2,0.727,0.928,17,3.36,3.77,2.101,3.77,2989.0,0.23,4.11,4.33
18.09,2800,1.14,2245,112.6,0.97,0.613,41,3.52,2.72,3.618,2.91,6335.4,0.36,4.8,3.74
8.97,800,1.38,2802,340.7,0.508,0.466,9,2.1,5.64,1.793,3.75,1189.1,0.78,2.34,6.46
4.99,1097,2.3,2055,126.8,0.415,0.969,37,2.21,2.63,1.01,4.72,1147.0,2.19,2.31,2.79
5.43,2196,2.42,611,441.9,0.424,0.693,43,2.77,5.83,1.086,4.76,2404.4,2.2,2.87,6.04
15.95,1425,1.39,960,280.7,0.753,0.702,16,3.63,4.83,3.189,2.86,3090.3,0.36,4.67,6.56
13.51,980,2.0,1386,93.0,0.437,0.773,12,4.22,5.8,2.702,3.54,1921.3,0.73,5.15,7.3
4.72,1313,1.56,1615,112.2,0.975,0.402,41,3.82,3.2,1.01,4.9,1363.0,1.51,3.92,3.3
4.43,1259,1.58,1575,246.9,0.485,0.959,26,3.18,2.64,1.01,4.9,1316.1,1.53,3.28,2.74
14.92,654,1.06,1019,480.8,0.583,0.617,1,2.35,4.21,2.983,2.89,1367.9,0.34,3.05,5.58
4.24,503,0.93,1311,384.8,0.894,0.638,33,4.34,4.08,1.01,4.83,594.1,0.88,4.44,4.18
16.97,991,1.08,2783,244.2,0.531,0.504,30,3.09,3.66,3.394,3.03,2221.1,0.37,4.35,4.82
15.01,701,1.61,2424,168.9,0.546,0.627,22,4.21,5.85,3.001,2.88,1454.9,0.47,5.57,7.73
4.38,1930,0.56,2104,274.6,0.785,0.882,6,3.54,5.38,1.01,4.9,1980.0,0.51,3.64,5.49
4.44,440,2.31,1426,374.2,0.566,0.88,37,4.22,4.82,1.01,4.9,581.2,2.26,4.42,4.95
19.77,2068,0.81,1056,392.0,0.53,0.961,32,4.72,3.07,3.955,2.08,4972.9,0.26,6.8,4.31
9.36,803,0.94,2781,162.3,0.553,0.642,11,4.76,5.07,1.873,3.84,1185.8,0.39,5.23,5.64
9.3,417,1.54,1555,360.6,0.694,0.825,44,3.61,5.04,1.86,3.21,629.1,0.74,4.27,5.61
16.82,2765,1.92,1078,328.9,0.98,0.704,11,3.53,3.99,3.364,2.48,6035.6,0.47,4.6,5.4
19.1,1486,0.69,1041,479.6,0.899,0.882,18,2.8,5.74,3.821,2.41,3561.9,0.2,4.0,8.02
19.76,2529,1.14,2661,465.5,0.571,0.828,8,4.81,3.08,3.952,2.75,6001.2,0.2,6.86,4.4
15.81,2380,2.44,2751,394.7,0.618,0.621,9,3.37,3.44,3.161,2.81,4844.3,0.69,4.47,4.42
9.4,1900,1.02,1552,361.7,0.679,0.602,16,2.38,2.72,1.879,3.18,2778.1,0.54,2.72,2.99
4.42,1467,1.13,973,137.0,0.987,0.551,39,3.3,5.28,1.01,4.9,1517.0,1.08,3.4,5.38
16.21,1672,2.17,2800,423.0,0.503,0.746,38,2.38,4.68,3.242,2.69,3563.4,0.63,3.2,6.39
12.49,916,0.6,1404,213.8,0.614,0.978,40,3.51,3.6,2.499,3.59,1690.3,0.2,4.4,4.22
10.21,652,1.43,2445,136.1,0.838,0.52,9,3.68,3.07,2.042,3.5,1095.5,0.73,4.17,3.58
18.41,955,1.26,885,192.1,0.978,0.457,11,3.01,2.64,3.682,2.81,2250.1,0.39,4.18,3.52
4.89,1912,1.13,561,418.0,0.493,0.472,14,2.21,3.08,1.01,4.69,1962.0,1.08,2.31,3.18
