Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Dam_State,Dam_State_ID
4.3695,4063,2.2841,2355,256.5915,0.511,0.5674,34,4.6771,2.7544,Failed,2
8.9034,1033,0.8369,462,97.2238,0.4288,0.377,9,2.6111,3.3843,Failed,2
0.5545,3698,2.4621,1138,46.5981,0.0538,0.9649,10,3.1279,4.5498,Intact,0
0.6565,3333,0.5236,1227,205.2479,0.0221,0.2735,13,5.4101,4.6836,Intact,0
12.3567,2080,0.6646,2058,81.6683,0.358,0.3997,37,5.4521,2.637,Failed,2
5.4668,1955,0.6237,2363,110.891,0.3337,0.9829,11,3.7941,3.1815,Failed,2
1.9932,3156,2.2562,870,158.7773,0.3877,0.5365,44,5.2699,4.4988,Damaged,1
7.8814,892,1.7049,711,129.6942,0.1384,0.5026,16,3.8296,4.8758,Failed,2
11.5729,891,0.5498,609,43.7956,0.7382,0.2578,15,3.0206,3.0936,Failed,2
3.3157,1909,1.2127,1321,44.9581,0.857,0.7014,34,2.9341,4.0954,Failed,2
9.3811,2355,1.6152,1863,96.6247,0.9387,0.0144,1,5.2533,6.1176,Failed,2
1.3717,3710,0.392,659,25.2796,0.4924,0.0495,10,2.6036,6.4956,Intact,0
0.8701,1707,2.2296,74,313.2285,0.7009,0.5994,40,4.0287,6.4489,Intact,0
8.0172,1084,2.0483,2078,143.6634,0.8556,0.3417,2,3.9443,6.0267,Failed,2
8.1555,3776,1.362,333,139.873,0.4183,0.9533,28,4.5887,4.0786,Failed,2
9.5977,3480,2.4244,1522,165.9991,0.3094,0.9032,17,3.7474,5.2463,Failed,2
10.9188,619,1.1609,350,331.3981,0.9367,0.7137,19,2.953,4.1664,Failed,2
14.6402,690,2.4635,1141,435.3169,0.5157,0.8181,13,2.5929,5.0941,Failed,2
7.7929,1150,1.7362,1080,379.5435,0.4973,0.6673,33,4.1729,3.7377,Failed,2
4.9121,3733,1.6597,866,363.7646,0.1784,0.1256,30,4.5165,4.9248,Failed,2
11.9483,4544,0.5817,132,242.1956,0.1082,0.7655,39,3.9933,4.595,Failed,2
4.1354,1059,2.2284,1970,346.9028,0.8421,0.2102,41,4.5842,2.5979,Failed,2
6.6407,792,1.1832,2143,276.3812,0.6141,0.3234,17,2.4953,5.6628,Failed,2
1.269,3999,0.5731,667,108.1253,0.3258,0.8192,29,5.0886,2.5476,Intact,0
0.4777,4573,0.229,2359,104.2942,0.1917,0.5365,24,4.0384,3.6726,Intact,0
14.4435,3046,1.4874,225,148.196,0.5555,0.8599,18,2.444,2.5237,Failed,2
12.5561,626,1.413,1239,455.4013,0.5839,0.213,7,3.6167,4.0048,Failed,2
10.47,3324,1.8545,891,273.7074,0.207,0.6078,27,4.9568,2.7526,Failed,2
6.1934,2353,2.2476,419,366.9527,0.8514,0.0838,7,5.1415,6.154,Failed,2
2.6821,3444,0.3826,1868,173.2794,0.0843,0.6431,30,2.9263,4.1627,Damaged,1
2.4309,4065,1.8824,2151,203.8579,0.3561,0.7625,2,4.4894,4.338,Damaged,1
3.8286,1975,0.631,739,62.7828,0.6804,0.5849,2,2.3499,3.8994,Failed,2
8.2835,1863,2.1738,1829,85.6475,0.2741,0.2662,43,2.1174,5.01,Failed,2
10.7475,620,2.0838,1414,413.6783,0.8277,0.0313,21,3.9614,5.6376,Failed,2
9.9369,1116,1.4438,1482,292.4193,0.7399,0.1194,16,4.4319,5.0926,Failed,2
4.271,216,1.8336,416,168.7662,0.789,0.6223,35,4.7853,5.4928,Failed,2
14.3275,2533,0.923,693,401.4256,0.1191,0.9344,16,3.1908,6.1239,Failed,2
11.0947,683,1.2837,2476,123.26,0.1405,0.2065,13,2.0228,5.9542,Failed,2
8.3599,494,2.0898,122,488.0163,0.2865,0.735,8,3.6783,5.1962,Failed,2
9.2146,3888,1.2563,1321,172.4088,0.5181,0.8665,29,2.0555,3.3586,Failed,2
6.352,2868,1.0229,909,168.6555,0.748,0.5209,20,2.3219,5.0508,Failed,2
3.7912,4267,1.3367,92,155.956,0.8365,0.6693,11,3.1434,4.5243,Failed,2
5.404,3960,2.105,2474,61.0558,0.7043,0.815,36,3.5301,5.3689,Failed,2
11.3919,373,0.971,1114,55.5686,0.9286,0.2607,31,2.9781,5.8317,Failed,2
0.3145,2113,0.5997,2267,324.0525,0.7387,0.2969,10,4.0365,5.4709,Intact,0
1.8295,4533,1.8376,2309,437.559,0.3063,0.0006,19,2.1937,5.8862,Damaged,1
0.7854,1489,2.0997,1566,395.2603,0.2651,0.9631,34,2.506,2.7555,Intact,0
0.7069,3666,0.4315,2136,70.5538,0.6962,0.9175,45,4.4334,2.6265,Intact,0
12.8464,4802,0.7517,418,272.7911,0.1929,0.7646,10,2.4975,3.534,Failed,2
10.5845,265,0.5265,200,52.7958,0.0927,0.0791,7,4.2392,6.1027,Failed,2
7.1652,1667,1.0003,1184,22.6473,0.5322,0.4475,3,2.1914,5.7946,Failed,2
1.5577,828,1.2358,1553,328.1929,0.8216,0.1019,26,3.4258,5.2309,Damaged,1
7.4251,2143,1.9223,1509,267.5762,0.1014,0.0159,43,2.6209,5.303,Failed,2
7.1547,4297,1.6976,1120,41.0118,0.7919,0.6162,39,2.3837,5.4067,Failed,2
2.6807,3596,1.6281,1073,17.4696,0.8116,0.9608,37,3.9846,6.2704,Damaged,1
6.5644,878,1.0105,1648,494.8782,0.4823,0.9029,29,5.2492,5.8288,Failed,2
6.0377,313,2.1353,2090,15.0107,0.0573,0.6968,43,2.1918,4.9936,Failed,2
9.2762,3862,1.284,1439,222.2641,0.1746,0.0966,26,3.4754,5.1629,Failed,2
9.5629,1676,2.4519,118,252.3095,0.7074,0.2742,20,4.4764,3.355,Failed,2
0.775,2548,1.6585,2396,58.6401,0.7118,0.3201,19,3.6194,5.1293,Intact,0
5.6817,3036,0.4904,993,84.5309,0.8984,0.7632,3,4.8227,4.1987,Failed,2
9.4253,3217,1.7552,851,175.9025,0.5827,0.8022,10,2.6288,3.1118,Failed,2
7.5967,691,0.9477,2393,380.8379,0.1241,0.3851,12,5.3586,5.7256,Failed,2
12.8617,2820,1.7786,2300,253.5412,0.1214,0.4179,8,3.3481,4.541,Failed,2
9.9145,813,0.3602,110,318.9509,0.7211,0.0445,3,3.1955,6.4097,Failed,2
2.5277,1035,0.6022,995,492.5873,0.1838,0.2891,11,5.0611,3.6267,Damaged,1
1.1515,4437,2.1682,1387,384.0027,0.3284,0.4513,8,3.9735,4.4227,Damaged,1
9.672,101,0.7225,1234,217.1807,0.4872,0.117,12,3.8076,4.292,Failed,2
0.495,2948,2.1252,380,223.221,0.0248,0.4533,25,4.5444,2.9831,Intact,0
8.8281,4144,0.8423,1601,309.386,0.2488,0.8532,37,4.0294,4.2045,Failed,2
14.1094,2049,1.6786,387,332.6826,0.4079,0.5813,41,2.5688,3.6502,Failed,2
8.6746,1017,1.7965,1679,250.3555,0.2796,0.0789,12,4.3597,3.1413,Failed,2
5.8837,3274,1.3791,1377,322.4306,0.1364,0.1917,38,2.4671,3.6286,Failed,2
9.685,2341,0.9022,1576,11.7662,0.728,0.4745,27,4.8205,3.433,Failed,2
6.928,189,0.6891,1723,214.8114,0.8131,0.3615,18,5.4641,5.4363,Failed,2
8.2297,1809,0.2763,1411,139.469,0.2575,0.3587,23,3.3209,2.6231,Failed,2
14.1278,2269,0.8991,1623,64.5872,0.7744,0.5293,18,3.5566,4.9699,Failed,2
5.8529,4338,1.7023,324,49.7733,0.3856,0.5844,12,2.1625,5.5426,Failed,2
14.4217,3141,2.3581,1237,301.5961,0.5067,0.7969,12,2.0481,4.4229,Failed,2
13.5897,205,2.2038,2416,261.8003,0.856,0.341,27,5.225,6.2263,Failed,2
3.0173,986,1.9619,2484,126.7921,0.75,0.8055,1,2.4502,5.3315,Failed,2
1.1335,527,2.0134,2043,235.475,0.8051,0.3386,9,3.5602,5.4917,Damaged,1
1.6016,1995,1.7295,919,246.1162,0.1368,0.0554,21,4.8537,3.2877,Damaged,1
0.3715,416,0.7987,1064,97.5045,0.0697,0.5542,12,5.1126,5.6092,Intact,0
1.5072,734,2.2865,1961,326.0465,0.8934,0.5879,8,3.8179,5.8284,Damaged,1
10.2768,2025,1.7427,652,390.4597,0.3878,0.9345,32,3.9776,3.9451,Failed,2
1.1607,2156,1.489,1849,395.7318,0.2879,0.7261,13,4.3439,3.3535,Damaged,1
4.8527,3244,0.4553,740,301.2349,0.7247,0.9178,19,5.3648,4.0402,Failed,2
12.6886,2370,1.2282,543,255.8193,0.8364,0.9083,14,4.1093,5.4584,Failed,2
0.4468,1539,1.2588,539,30.5036,0.8625,0.6046,31,3.9582,4.1706,Intact,0
12.2356,652,2.1885,439,143.9156,0.316,0.5278,32,2.0509,5.4466,Failed,2
4.2996,815,1.4573,344,46.6357,0.8522,0.5574,16,2.2833,2.9543,Failed,2
1.8607,4011,1.0749,1442,481.9116,0.0409,0.9783,23,4.0201,5.724,Damaged,1
10.4814,1813,2.4466,1767,67.5401,0.0497,0.7732,29,5.2768,3.5128,Failed,2
9.4712,3489,0.4547,698,75.8877,0.6235,0.1063,12,5.0334,3.4957,Failed,2
13.1743,1207,1.1719,1923,444.7883,0.0631,0.7784,15,5.439,4.8615,Failed,2
11.0526,4306,0.2967,617,471.9641,0.3246,0.1705,1,3.8474,2.7805,Failed,2
12.0719,350,1.9018,494,382.9145,0.6728,0.4474,16,4.7578,2.6052,Failed,2
4.3023,2530,2.3116,412,2.7025,0.3373,0.2105,31,4.9414,3.5441,Damaged,1
2.7438,2154,0.8441,2220,0.6731,0.1796,0.6896,42,4.2681,4.6523,Damaged,1
11.2842,558,2.1742,1261,189.0504,0.2814,0.8773,7,3.1856,6.1305,Failed,2
12.1218,307,0.8721,791,71.6977,0.4576,0.2904,2,3.6449,5.8857,Failed,2
14.8585,999,2.2948,2091,9.1931,0.4754,0.082,11,5.0027,4.4618,Failed,2
6.248,3561,1.9341,729,232.0333,0.783,0.2985,19,3.0449,2.6482,Failed,2
5.6431,3485,2.0513,1692,471.5309,0.7502,0.6724,15,5.2331,4.641,Failed,2
11.6686,121,0.2414,1622,161.9098,0.4568,0.3288,13,2.8043,5.3192,Failed,2
5.178,509,2.4145,1408,330.5703,0.8457,0.2781,15,4.6233,3.8567,Failed,2
13.9683,994,1.8713,2189,326.1177,0.1142,0.1844,42,4.207,2.9443,Failed,2
12.8904,614,0.9009,112,125.5401,0.2554,0.4975,32,4.6236,3.6143,Failed,2
6.492,4209,2.1076,1212,325.2126,0.828,0.2759,29,3.5307,5.5864,Failed,2
11.288,2234,0.8475,1278,106.167,0.378,0.731,11,5.2642,3.905,Failed,2
11.3427,3695,2.2073,305,61.0037,0.9812,0.0766,14,4.2137,5.7479,Failed,2
1.6365,3056,0.4589,184,350.6916,0.4663,0.664,17,3.009,3.7781,Damaged,1
13.548,1660,1.8185,924,56.7204,0.7919,0.2376,27,4.2346,3.1542,Failed,2
7.6283,1366,1.4436,871,498.4546,0.4023,0.4893,22,3.0039,4.2434,Failed,2
12.4142,2269,0.422,2185,91.7262,0.425,0.2861,13,3.0277,4.3091,Failed,2
4.8687,3738,0.7564,872,297.0709,0.3829,0.7228,29,3.3986,2.5644,Failed,2
13.4433,849,0.2285,1023,205.6873,0.7191,0.9453,32,4.9835,2.9682,Failed,2
5.8991,3527,1.2782,1827,63.1932,0.5475,0.9171,44,3.751,3.2397,Failed,2
0.2615,4880,0.8929,170,13.922,0.9438,0.5834,14,4.3762,2.9543,Intact,0
13.5902,2027,1.5762,1687,311.3661,0.2509,0.4626,6,3.3719,3.8661,Failed,2
1.4602,3904,0.8836,1414,403.3788,0.1006,0.8183,14,2.9226,6.3585,Damaged,1
4.8578,3802,0.8898,1057,421.0078,0.3933,0.6833,41,5.3412,4.5369,Failed,2
14.2559,2456,1.9093,974,241.3567,0.6167,0.1836,45,4.1125,5.0102,Failed,2
14.264,4890,0.3107,694,388.7277,0.8608,0.8209,37,5.2688,3.9255,Failed,2
8.6442,2435,2.2767,2082,336.4236,0.3462,0.4289,45,2.7119,3.794,Failed,2
9.5144,406,2.1602,2118,362.1273,0.6538,0.189,43,2.5141,2.5926,Failed,2
6.7818,3765,1.736,291,246.2995,0.3502,0.2818,10,4.9954,4.5013,Failed,2
4.4688,2089,1.5644,2400,316.7059,0.6172,0.2675,28,4.3832,4.4344,Failed,2
4.9971,761,2.2523,1669,402.763,0.8848,0.5192,30,2.653,3.1313,Failed,2
10.1205,4744,0.6263,852,198.9421,0.2314,0.2344,24,2.9428,5.5573,Failed,2
11.3104,411,0.3816,1013,402.9895,0.4042,0.1236,23,4.8023,4.4707,Failed,2
11.8945,3020,0.7509,118,296.0084,0.9933,0.1237,18,3.5885,3.856,Failed,2
11.8653,1182,2.0275,1202,82.9505,0.8686,0.5833,1,4.3469,3.0876,Failed,2
1.459,3071,0.2797,245,12.3421,0.5646,0.7348,21,3.1142,4.7086,Intact,0
7.4669,854,1.5405,2237,181.3768,0.5166,0.3215,19,3.3343,5.5113,Failed,2
0.9576,4230,2.4895,2380,273.3482,0.2846,0.0347,32,5.4675,3.628,Intact,0
8.288,4640,2.1681,2409,419.9102,0.5172,0.1272,7,2.8667,3.3752,Failed,2
6.6788,452,1.3993,795,63.7428,0.8482,0.9147,24,3.7726,4.5877,Failed,2
13.3268,1002,0.3464,1738,400.1032,0.6852,0.4935,45,4.9554,3.1214,Failed,2
5.3286,3988,2.1122,326,431.5045,0.29,0.4536,8,2.8373,5.1665,Failed,2
1.8443,258,1.5777,110,75.3437,0.2015,0.038,33,3.4532,4.9214,Damaged,1
2.2306,2077,0.4643,1963,425.7972,0.2652,0.7286,22,4.1528,2.8483,Damaged,1
11.4465,1056,0.4159,2149,495.7268,0.1698,0.5281,4,3.6842,2.6461,Failed,2
9.3114,2171,2.2921,2250,363.4194,0.0956,0.2021,24,3.6083,4.9812,Failed,2
1.6067,503,1.7392,1822,392.3848,0.4191,0.1101,7,3.2688,3.6772,Damaged,1
1.3532,4711,2.1074,1384,497.2076,0.1133,0.3834,15,4.0533,2.8458,Damaged,1
10.5444,2879,2.2217,1887,302.7406,0.1719,0.8372,44,4.1853,5.5377,Failed,2
1.1842,1487,1.5151,616,153.9432,0.5473,0.8653,14,4.2865,3.7562,Intact,0
12.3457,3553,1.3901,1621,418.7654,0.1646,0.6028,0,2.2463,4.3384,Failed,2
10.623,1055,1.19,671,307.2429,0.0639,0.7275,21,4.2086,3.4473,Failed,2
1.3121,1812,0.929,2075,290.5977,0.3174,0.1152,2,5.3363,5.0093,Damaged,1
1.3641,4803,1.1996,1250,126.8178,0.2203,0.5881,37,3.8935,3.706,Intact,0
14.8009,1373,1.9799,363,378.1671,0.5153,0.667,13,4.5034,6.3721,Failed,2
5.6766,3911,1.5844,2194,40.8336,0.1024,0.2007,35,3.9486,5.3118,Failed,2
5.6226,2725,2.2528,1286,462.1435,0.7518,0.8802,17,4.9916,3.0469,Failed,2
12.2107,2482,1.2198,186,162.9117,0.9062,0.195,40,5.2535,4.1668,Failed,2
14.214,1541,1.5963,1079,63.8873,0.7434,0.3135,17,2.6448,4.0417,Failed,2
14.7914,3079,1.652,2206,221.1833,0.5328,0.6206,2,3.529,4.637,Failed,2
11.3253,1897,1.5609,711,21.235,0.8607,0.6384,9,3.3733,5.8677,Failed,2
5.7063,4490,1.8161,2358,342.3131,0.6949,0.6994,38,3.4183,4.8337,Failed,2
1.3442,4109,0.7461,136,451.3528,0.0106,0.112,0,2.4393,2.7462,Damaged,1
11.6795,4950,1.3784,2173,418.6315,0.3941,0.8495,26,4.8477,5.1217,Failed,2
8.4202,1494,0.4397,1358,63.6847,0.851,0.5328,26,2.1252,2.5331,Failed,2
6.4209,4381,1.0844,1750,63.1356,0.3459,0.4713,10,3.8488,5.6198,Failed,2
13.6047,1369,1.3216,544,406.7172,0.0352,0.9811,4,4.3166,5.1665,Failed,2
1.7568,4832,1.7001,1697,462.1271,0.7462,0.7404,6,2.7261,3.7351,Damaged,1
7.4401,3814,2.3862,1992,230.3349,0.802,0.118,18,5.1705,3.6698,Failed,2
0.2692,629,1.5815,1118,249.4856,0.1606,0.7565,28,4.9349,5.6931,Intact,0
7.083,3723,1.9103,1474,159.131,0.5373,0.0952,14,3.6488,5.6333,Failed,2
0.9389,3058,1.3644,646,447.1326,0.192,0.0275,34,3.439,3.9092,Intact,0
1.8704,3014,1.6584,499,322.4515,0.7192,0.4036,36,2.828,3.6958,Damaged,1
1.8511,4989,0.3631,534,144.1258,0.2716,0.9936,11,4.555,4.7393,Damaged,1
9.7732,3691,0.7851,695,149.3914,0.3162,0.1749,29,2.4611,2.5335,Failed,2
11.2161,2247,1.0323,1679,445.6,0.845,0.6726,19,4.3808,2.8307,Failed,2
8.7922,4673,1.2867,711,6.817,0.4763,0.1734,36,4.9486,3.0047,Failed,2
14.4364,3469,0.305,807,161.3633,0.6698,0.7248,2,2.7997,3.2416,Failed,2
5.6856,1039,0.5221,338,277.1783,0.4024,0.5054,8,5.0325,4.5481,Failed,2
4.3571,625,0.8367,770,74.1087,0.298,0.68,40,2.1166,6.469,Failed,2
13.0421,101,2.4345,687,46.0494,0.6255,0.2029,38,5.1948,5.1105,Failed,2
3.4316,474,0.9621,2332,407.6382,0.1549,0.7456,25,2.4143,2.7452,Failed,2
14.452,2440,1.3087,548,447.2022,0.373,0.9956,1,4.2602,4.6023,Failed,2
0.2811,4105,0.651,683,411.8032,0.209,0.6657,22,2.8753,4.4866,Intact,0
14.5512,3152,1.6048,1723,449.3939,0.6958,0.4935,22,4.9279,3.0767,Failed,2
0.7431,4748,0.8456,2080,276.556,0.9442,0.9232,20,3.7931,6.1811,Intact,0
13.378,2465,0.6761,164,406.1291,0.9955,0.0159,15,2.4733,4.2631,Failed,2
7.9627,1625,1.3881,723,192.0213,0.4503,0.7299,8,3.9985,6.4782,Failed,2
14.8952,4576,0.2127,1786,333.1339,0.2525,0.8887,12,3.4276,4.1803,Failed,2
1.1996,1746,0.2176,1307,494.4178,0.4428,0.0617,27,4.3151,4.9318,Damaged,1
8.3524,113,0.7039,2303,112.8639,0.8473,0.4501,26,5.0867,2.9191,Failed,2
14.5426,4699,0.2845,2344,194.9499,0.206,0.2047,16,3.4329,4.3169,Failed,2
7.8942,2378,0.4485,196,240.0237,0.9521,0.5665,37,3.0146,3.4551,Failed,2
9.478,3255,0.9794,2215,69.0077,0.3419,0.6495,35,2.0508,5.8423,Failed,2
10.4667,229,2.0459,461,40.5193,0.9858,0.3026,0,4.0119,5.6357,Failed,2
6.8727,3914,1.5157,1737,414.8614,0.8386,0.46,17,3.408,5.7967,Failed,2
9.4506,3316,1.3791,2460,488.3972,0.8086,0.2793,8,3.3113,5.3944,Failed,2
8.8063,3038,0.875,1582,202.3625,0.3179,0.3694,12,2.6403,5.8307,Failed,2
13.5273,4028,2.343,186,43.8249,0.0088,0.1595,39,3.5052,3.3033,Failed,2
0.7772,2140,1.1131,68,32.9059,0.3821,0.8856,44,5.4455,4.3082,Intact,0
4.2864,127,0.4003,2292,445.6591,0.3018,0.01,14,3.0421,5.2674,Failed,2
14.2611,2213,1.6193,2427,231.9071,0.0374,0.8824,42,4.099,5.0496,Failed,2
13.3649,1352,0.4618,2009,160.0137,0.5054,0.5717,43,4.7177,5.3654,Failed,2
6.8893,4456,0.994,2272,238.2306,0.403,0.3317,45,4.6221,3.397,Failed,2
9.34,2146,1.367,1051,159.152,0.6346,0.7231,3,3.1507,2.8937,Failed,2
4.233,4655,2.2107,498,244.5179,0.6212,0.5078,32,4.138,6.1672,Failed,2
2.903,4123,1.3352,1998,429.7782,0.1207,0.4991,23,5.0494,4.7407,Damaged,1
7.0091,4496,1.8152,995,296.1507,0.977,0.1101,35,2.0541,3.1153,Failed,2
5.3649,3474,2.4835,1427,347.3269,0.1869,0.3895,40,3.5251,5.6737,Failed,2
8.7965,3566,0.5024,1572,182.3353,0.4453,0.2411,9,2.785,6.1597,Failed,2
1.2582,3181,0.8319,190,369.2529,0.4881,0.0157,35,3.3602,3.1783,Damaged,1
14.6185,3878,1.1075,1970,333.3085,0.8131,0.3601,19,3.456,5.7696,Failed,2
14.7945,729,1.1702,142,59.781,0.0992,0.0898,40,4.6133,6.2329,Failed,2
10.5026,369,1.1453,288,286.3214,0.4286,0.2568,44,2.3284,6.2534,Failed,2
8.0878,2739,2.2875,254,128.3717,0.6285,0.0925,43,3.794,6.1566,Failed,2
4.712,2093,1.8423,1506,402.0478,0.2152,0.1009,10,3.9747,4.6857,Failed,2
12.2255,2991,1.5982,294,212.9689,0.6275,0.199,11,3.7296,3.9248,Failed,2
10.3025,3532,0.9116,881,497.3421,0.9237,0.9998,17,4.5616,2.5291,Failed,2
2.523,1380,2.0947,344,46.2502,0.9975,0.0022,29,3.3433,2.7436,Damaged,1
13.6728,2460,2.3966,905,390.1739,0.0325,0.6387,43,5.3074,4.2154,Failed,2
12.3558,675,2.0888,2114,336.8509,0.2356,0.1412,36,3.6863,4.0973,Failed,2
14.252,1407,0.2036,120,383.7494,0.3103,0.9206,19,3.9992,3.2389,Failed,2
10.9132,3292,1.6637,1342,153.7649,0.3991,0.0936,24,4.8894,4.0819,Failed,2
9.2399,3278,0.3176,1398,246.0272,0.2423,0.9551,11,2.9633,3.1986,Failed,2
6.3318,2834,0.7925,354,398.2543,0.2035,0.6109,20,2.2632,5.8952,Failed,2
13.9977,2312,0.3369,1080,116.2707,0.9546,0.0013,24,4.4772,3.6928,Failed,2
13.0044,2452,1.5887,1387,113.0166,0.9185,0.894,10,3.6905,4.8943,Failed,2
0.7738,3668,1.7792,866,275.5255,0.047,0.5217,8,5.1378,4.5114,Intact,0
0.4929,1755,0.4633,1176,261.7818,0.3388,0.2627,24,5.4394,2.7075,Intact,0
5.7093,1679,1.0828,870,141.1312,0.4051,0.7673,34,3.3969,6.2689,Failed,2
12.1772,2303,1.2493,242,149.0378,0.239,0.9267,31,3.454,4.6089,Failed,2
14.8104,1490,1.0488,1826,138.9226,0.6289,0.4837,13,3.4279,3.8002,Failed,2
2.3412,1842,0.4784,578,385.756,0.6404,0.3156,0,3.1359,3.1325,Damaged,1
8.9525,2025,1.1636,2268,325.9504,0.8505,0.7889,16,4.7359,3.8541,Failed,2
5.7753,719,1.9277,300,416.2086,0.7409,0.6818,24,4.6565,2.582,Failed,2
14.5517,1374,0.3633,1838,487.7365,0.5426,0.8888,7,3.6753,3.9542,Failed,2
12.6476,1056,0.3844,2076,237.0821,0.6536,0.6925,4,2.1563,4.6259,Failed,2
12.5911,2039,1.016,1453,33.3469,0.274,0.2435,4,3.0835,5.9875,Failed,2
7.0835,4053,2.366,1217,24.0462,0.5931,0.9317,40,3.0231,5.2495,Failed,2
6.2808,2481,1.7377,2122,147.8325,0.4892,0.1048,34,4.8388,2.9463,Failed,2
4.1738,1068,1.7609,1146,466.2723,0.1333,0.2679,18,2.3065,3.091,Failed,2
0.94,1416,1.0324,1897,261.6065,0.2425,0.5202,22,4.8199,4.2125,Intact,0
12.9844,1143,1.5654,554,135.8933,0.2917,0.5657,8,4.3421,3.2828,Failed,2
12.2122,381,0.2233,1671,199.5834,0.9243,0.0153,29,4.5635,2.6114,Failed,2
14.9958,2944,1.663,2433,299.2976,0.2304,0.7806,15,3.5127,5.7201,Failed,2
14.9499,1158,2.3006,1437,326.4748,0.2892,0.3616,32,4.379,2.5781,Failed,2
8.3759,4393,1.6089,1272,76.9598,0.3694,0.4064,1,4.1316,5.8228,Failed,2
11.5579,2632,2.2095,767,488.5158,0.6637,0.8094,13,4.6914,3.0764,Failed,2
14.177,3928,1.8651,388,272.3861,0.1182,0.3793,45,3.5637,6.3987,Failed,2
12.7597,1108,0.4773,708,67.8442,0.9539,0.0472,0,3.6549,4.9155,Failed,2
3.7855,1329,2.2756,1011,446.8176,0.8656,0.1764,25,4.2525,5.4399,Failed,2
6.8131,1135,0.3528,478,37.3192,0.5772,0.9559,24,2.3783,2.9419,Failed,2
2.0245,4685,1.4281,948,453.8677,0.674,0.0704,15,3.5269,5.9484,Damaged,1
14.3154,375,0.5269,188,498.2828,0.0167,0.3549,14,5.4018,5.8568,Failed,2
9.132,2840,0.2269,591,350.2159,0.3389,0.5032,25,2.1314,5.112,Failed,2
3.5068,2389,1.1707,2154,385.2236,0.7957,0.4933,43,3.106,4.5091,Failed,2
10.1083,1339,0.8786,1305,168.6514,0.0775,0.004,15,3.0994,5.386,Failed,2
9.3101,225,1.3178,433,470.7884,0.2823,0.5012,13,4.2171,2.5237,Failed,2
5.4366,4165,1.5276,243,264.857,0.5853,0.3838,28,2.3703,4.8698,Failed,2
1.792,4412,0.3006,2282,366.1942,0.2564,0.9721,23,4.1999,5.8896,Damaged,1
10.1064,3968,0.4829,1945,462.0539,0.934,0.1592,14,2.3326,3.9276,Failed,2
7.8526,1308,1.4849,2389,487.59,0.1311,0.3542,18,2.3323,2.9332,Failed,2
11.6075,3349,0.9893,781,416.6022,0.7974,0.4195,7,4.5486,4.1835,Failed,2
7.8504,1018,1.8771,2213,151.5088,0.5079,0.3907,33,3.1345,5.4084,Failed,2
12.7975,4023,1.7003,734,483.2738,0.7503,0.6658,1,5.421,2.9292,Failed,2
8.3234,4503,2.1449,131,314.0598,0.3107,0.2155,26,2.1307,3.3242,Failed,2
8.458,2069,1.7927,2430,465.3212,0.5145,0.2211,9,3.5579,3.0902,Failed,2
13.1621,2893,1.1888,2432,338.0525,0.8568,0.7292,34,2.396,5.6878,Failed,2
6.1119,991,1.7478,581,153.6195,0.4669,0.5003,22,3.2298,2.7516,Failed,2
2.0968,4570,0.8334,2033,185.0123,0.3597,0.4152,7,5.4938,5.2463,Damaged,1
0.5289,2133,0.9045,270,275.2359,0.5362,0.1692,27,5.1109,3.9658,Intact,0
11.3515,1464,2.0147,684,395.0074,0.7174,0.1875,22,2.1691,5.5232,Failed,2
9.3426,228,1.2268,1819,158.9913,0.4436,0.0106,3,3.9714,6.3575,Failed,2
10.5908,1114,2.0363,2420,289.8656,0.9389,0.0914,13,4.2674,2.9582,Failed,2
3.2732,1899,2.0916,1924,172.8125,0.2949,0.5568,41,2.7334,3.7575,Failed,2
2.1319,4712,2.1724,52,407.8847,0.4755,0.8919,28,2.5079,5.7405,Damaged,1
0.3167,1618,2.3083,1767,233.364,0.7569,0.2872,0,5.1653,3.5646,Intact,0
5.3238,4281,1.1913,255,38.3614,0.6891,0.3277,3,5.3909,3.3605,Failed,2
8.8898,1298,0.9334,1905,83.0263,0.8636,0.1156,31,5.4716,5.8015,Failed,2
5.9444,3973,1.5391,89,30.5523,0.9968,0.3886,32,4.7642,6.4483,Failed,2
6.6184,2574,1.0537,2156,249.6515,0.4269,0.0372,25,4.3223,4.7275,Failed,2
13.572,3585,1.5825,693,53.1686,0.1112,0.9176,16,3.2101,3.6122,Failed,2
5.289,4149,1.8228,1580,57.07,0.0304,0.6731,38,2.5999,4.0943,Damaged,1
7.7584,3819,1.7833,1957,470.5241,0.7269,0.9907,22,2.2764,3.1805,Failed,2
11.7764,402,1.0615,2193,436.3275,0.874,0.8828,31,4.4265,5.5475,Failed,2
6.0085,4052,0.5838,947,226.0433,0.2207,0.473,14,4.7465,5.5939,Failed,2
9.3691,4783,1.1902,1135,492.9027,0.1584,0.5197,12,4.8926,6.0005,Failed,2
12.9492,1086,0.528,1329,0.0933,0.0622,0.1906,1,5.1982,2.6064,Failed,2
14.2479,1963,2.2472,2445,306.9897,0.8227,0.462,18,5.0798,4.7479,Failed,2
2.2914,4540,0.9955,720,308.2141,0.3114,0.903,23,5.4991,3.357,Damaged,1
13.9062,3172,0.5553,1555,228.7215,0.4017,0.0509,44,2.8542,3.8635,Failed,2
